Business Category,Business Name,Business Description,Website,Phone,Address,Email
BEAUTY/ESTHETICS,NURTURE ESTHETICS & NUTRITION @ INLET WELLNESS,"ESTHETICS - FCIALS, EYELASH & EYEBROW TINTING, WAXING MICROBLADING",http://www.inletwellnessgallery.com,604-939-1059,"2320 CLARKE ST, PORT MOODY",nurtureesthetics@gmail.com
INDUSTRIAL,A-ONE U-LOCK SELF STORAGE,SELF-STORAGE LOCKER FACILITY,http://www.a1ulock.com,,"3190 ST JOHNS ST, PORT MOODY",storage@a1ulock.com
BUSINESS SERVICES,BTM LAWYERS,Law Firm,http://www.btmlawyers.com,604-937-1166,"530 - 130 BREW ST, PORT MOODY",admin@btmlawyers.com
BUSINESS SERVICES,BEVERLEY A RICHARDS INTERIORS,INTERIOR DESIGN.,http://barinteriordesigns.com,604-469-0539,"2 - 3009 MURRAY ST, PORT MOODY",barinteriors@shaw.ca
COMPUTERS/WEB DESIGN,TRADEAMAC.COM,SELL/TRADE/FIX APPLE PRODUCTS & ELECTRONICS,http://www.tradeamac.com,604-729-4909,"2 - 2929 ST JOHNS ST, PORT MOODY",tradeamac604@gmail.com
HEALTH,"CARLY MCLEOD, RMT",REGISTERED MASSAGE THERAPIST @ INBALANCE,http://www.inbalancecare.com,604-492-1182,"210 - 221 IOCO RD, PORT MOODY",inbalancecare@gmail.com
BEAUTY/ESTHETICS,JEFF J HAIR SALON LTD.,Hair Design,http://www.hairsalonportmoody.ca,604-937-0088,"2340 ST JOHNS ST, PORT MOODY",jafar.bardia@gmail.com
ANIMALS,PUPSTART,DOG TRAINER,http://pupstart.dog,604-949-0630,"430 HYCROFT ST, PORT MOODY",info@pupstart.dog
HEALTH,ELAN WELLNESS,ADMINISTRATIVE OFFICE FOR NATURAL PRODUCTS,http://www.elangroup.ca,778-996-1118,"612 - 220 BREW ST, PORT MOODY",info@elangroup.ca
HEALTH,WEST COAST HYPNOTHERAPY,HYPNOTHERAPY SERVICES,http://www.wchypnotherapy.com,604-628-6512,"301 - 220 BREW ST, PORT MOODY",sebastian@wchypnotherapy.com
RETAIL COMMERCIAL,PRISM SECURITY SYSTEMS,SECURITY ALARM SALES AND SERVICE.,http://www.coastpacificalarms.ca,604-461-1866,"2803 MURRAY ST, PORT MOODY",info@coastpacificalarms.ca
HEALTH,RACHEL MOLE RMT,REGISTERED MASSAGE THERAPIST,http://www.healingcedarwellness.com,604-469-1616,"8 - 3130 ST JOHNS ST, PORT MOODY",rachel.molermt@gmail.com
ANIMALS,THE BONE & BISCUIT CO.,NATURAL PET FOOD & SUPPLIES,http://www.theboneandbiscuit.ca,778-484-5350,"A - 265 NEWPORT DR, PORT MOODY",newport@theboneandbiscuit.com
CONTRACTORS,EMARE CONTRACTING INC.,CONTRACTOR,,,"664 FORESTHILL PL, PORT MOODY",AKHORSANDI@HOTMAIL.COM
HEALTH,"SIERRALTA, ANDREA",COUNSELLING/PSYCHOTHERAPY SERVICES,http://www.andreasierralta.ca,604-706-1235,"301 - 220 BREW ST, PORT MOODY",andrea@andreasierralta.ca
RETAIL COMMERCIAL,INLET SEAFOODS LTD,Seafood Store,http://www.inletseafoods.com,604-469-6646,"236 NEWPORT DR, PORT MOODY",inletseafoods@hotmail.com
BEAUTY/ESTHETICS,FALCON ARTISTRY,COSMETIC TATTOOING @ HALCYON COSMETIC SOLUTIONS,http://www.falconartistry.com,604-805-9599,"103D - 101 KLAHANIE DR, PORT MOODY",info@falconartistry.com
RETAIL COMMERCIAL,THE STITCHERY SEWING STUDIO,TECHING SEWING AND TEXTILE DESIGN. SELLING RELEVANT SUPPLIES,http://www.thestitcherystudio.ca,604-492-0508,"80 MARY ST, PORT MOODY",jill@thestitcherystudio.ca
HEALTH,"DR. SHARON GURM ND, INTEGRATED HEALTH LTD",Doctors Office,http://www.portmoodyhealth.com,604-949-0077,"202 - 101 KLAHANIE DR, PORT MOODY",info@portmoodyhealth.com
RETAIL COMMERCIAL,HARRIGAN RENTALS & EQUIPMENT LTD.,Equipment Rentals - Office only,http://www.harriganrentals.ca,604-931-0883,"2 - 2609 MURRAY ST, PORT MOODY",
CONTRACTORS,"BULYCH PLUMBING, HEATING AND GAS SERVICES LTD.",PLUMBING & HEATING CONTRACTOR,http://www.forsafetyssake.ca,604-317-8387,"244 BALMORAL PL, PORT MOODY",danbulych@telus.net
RETAIL COMMERCIAL,MAPLE FLORIST,RETAIL STORE OF FLOWERS,http://www.mapleflorist.com,604-939-5200,"2503 ST JOHNS ST, PORT MOODY",maplefloralgift@gmail.com
HEALTH,TRI-CITIES SEXUAL HEALTH SERVICES,PSYCHOLOGIST.,http://www.loriborotto.com,604-605-6032,"2226 ST JOHNS ST, PORT MOODY",drbrotto@gmail.com
HEALTH,COUNSELLING WORKS PROFESSIONAL COUNSELLING SERVICES,COUNSELOR.,http://www.counsellingworks.ca,604-657-3260,"305 - 2502 ST JOHNS ST, PORT MOODY",counsellingworks@shaw.ca
BEAUTY/ESTHETICS,SINISTER SKIN,TATTOO AND PIERCING STUDIO,http://www.sinisterskintattoos.com,604-931-8272,"A - 2520 ST JOHNS ST, PORT MOODY",sinisterskintattoos@gmail.com
BEAUTY/ESTHETICS,HALCYON COSMETIC SOLUTIONS,"PERMANENT MAKEUP, MEDICAL LASER SKIN & NAIL TREATMENTS",http://www.halcyonlasersolutions.com,604-328-9579,"103D - 101 KLAHANIE DR, PORT MOODY",kelly@halcyonlasersolutions.com
BUSINESS SERVICES,S. KIM LAW OFFICE,GENERAL PRACTICE OF LAW SPECIALIZING IN IMMIGRATION LAW,http://www.skimlaw.ca,604-917-0357,"301 - 220 BREW ST, PORT MOODY",sangjo@hotmail.com
ANIMALS,DOGGY DAY LOVE,"DOG WALKING, DOG PHOTOGRAPHY AND CUSTOM DOG FASHION COMPANY",http://www.doggydaylove.com,604-265-1103,"1/2 - 421 CAMPBELL RD, PORT MOODY",info@doggydaylove.com
BEAUTY/ESTHETICS,MAKE ME OVER,Hair Salon,http://www.makemeoversalonspa.com,604-931-4484,"B - 2503 ST JOHNS ST, PORT MOODY",info@makemeoversalonspa.com
SPORT/RECREATION/TRAVEL,BEACH AVENUE FITNESS,FITNESS.,http://www.beachavenuefitness.com,604-469-2016,"1672 BEACH AVE, PORT MOODY",nonis@telus.net
COMMUNITY SERVICES/EDUCATION,ANDREA BROWN PIANO STUDIO,PIANO LESSONS - PRIVATE ONLY - NO GROUP LESSONS,http://www.andreabrownpiano.net,604-813-1252,"444 CULZEAN PL, PORT MOODY",andrea@andreabrownpiano.net
PROPERTY MGMT/REAL ESTATE,BOLD PROPERTIES (WESTPORT) LIMITED PARTNERSHIP,A SALES FOR OUR LOCAL TOWNHOME DEVELOPMENT,http://www.bold.ca,604-944-8942,"2506 ST JOHNS ST, PORT MOODY",nataliem@bold.ca
HEALTH,MONARCH PEDIATRIC DENTAL CENTRE PORT MOODY,Dental Centre,http://www.monarchdentalcentre.com,604-461-4980,"501 - 205 NEWPORT DR, PORT MOODY",
HEALTH,CLA CONTACT LENS TECHNICIANS LTD.,SPECIALTY CONTACT LENS PRACTICE & OPTICAL STORE,http://www.clacontactlenses.com,604-936-2015,"302 - 2502 ST JOHNS ST, PORT MOODY",clalens@shaw.ca
ACCOMMODATIONS,NATURE'S DOOR BED & BREAKFAST,BED & BREAKFAST,http://www.naturesdoor.ca,778-355-9004,"22 KICKING HORSE WAY, PORT MOODY",here@naturesdoor.ca
PROPERTY MGMT/REAL ESTATE,ROYAL LEPAGE STERLING REALTY,Realty Office,http://www.sterlingrealty.ca,604-421-1010,"801 - 220 BREW ST, PORT MOODY",diana@psr.ca
RETAIL COMMERCIAL,IT'S MY PARTY SHOP LTD,"Rental of Costumes, Party Supplies, Engraving Trophies",http://www.itsmypartyshop.ca,604-931-6040,"2424 ST JOHNS ST, PORT MOODY",contactus@itsmypartyshop.ca
CONTRACTORS,V.A.P. CONSTRUCTION MANAGEMENT GROUP,CONTRACTOR,http://vap.cmgroup@gmail.com,604-939-0730,"126 SHORELINE CIR, PORT MOODY",
INDUSTRIAL,SHEREMETA CUSTOM CABINETS & MILLWORK,Cabinet Maker,http://www.sheremetacustomcabinets.com,604-928-5065,"2911 SPRING ST, PORT MOODY",djs251@hotmail.com
HEALTH,VERACIS WELLNESS,"AROMATHERAPY, MASSAGE, MEDITATION, HEALING, WELLNESS.",http://www.veracis.ca,604-461-5511,"86 MOODY ST, PORT MOODY",info@veracis.ca
SPORT/RECREATION/TRAVEL,712089929BC0001 (9 ROUND),30 MINUTE KICKBOX FITNESS,http://www.9round.com,778-954-9929,"B - 265 NEWPORT DR, PORT MOODY",newportdrportmoodybc@9round.com
SPORT/RECREATION/TRAVEL,YOGA WITH KASIA,Yoga Instructor,http://www.yogawithkasia.com,778-385-1014,"813 COYLTON PL, PORT MOODY",info@yogawithkasia.com
MARKETING/COMMUNICATIONS,EMPTY DESK SOLUTIONS,"MARKETING, SOCIAL MEDIA, GRAPHIC DESIGN",http://www.emptydesksolutions.ca,1-800-898-4472,"301 - 220 BREW ST, PORT MOODY",bhardy@emptydesksolutions.ca
ANIMALS,WHO LET THE DOGS OUT,DOG DAYCARE,http://www.wholetthedogsout.org,778-871-9115,"2806 SPRING ST, PORT MOODY",wholetthedogsout@live.ca
HEALTH,TARYN KNOWLES RMT,REGISTERED MASSAGE THERAPIST,http://www.ingratedhealth.ca,604-725-1210,"2306 ST JOHNS ST, PORT MOODY",tarynrmt@integratedhealth.ca
ANIMALS,FETCH CLUB PET SERVICES,DOG WALKING AND SITTING,http://www.fetchclubpetservices.com,604-290-4469,"2 SIMON FRASER CRT, PORT MOODY",
COMPUTERS/WEB DESIGN,AMG COMPUTING,SOFTWARE DEVELOPER.,http://www.amgcomputing.com,604-603-8721,"306 - 200 CAPILANO RD, PORT MOODY",info@amgcomputing.com
HEALTH,PLAY WORKS PHYSIO,PAEDIATRIC PHYSIOTHERAPY CLINIC - SERVICES FOR CHILDREN 0-18 YEARS,http://www.playworksphysio.com,604-492-3888,"320 - 205 NEWPORT DR, PORT MOODY",maegan@playworksphysio.com
HEALTH,ESPOSITO MASSAGE,Massage Therapy,http://www.espositomassage.com,778-847-4378,"2227 ST JOHNS ST, PORT MOODY",info@espositomassage.com
SPORT/RECREATION/TRAVEL,CAULFIELD SCHOOL OF DANCE,SCHOOL OF DANCE,http://www.caulfield.bc.ca,604-469-9366,"2610 ST JOHNS ST, PORT MOODY",cori@caulfield.bc.ca
RETAIL COMMERCIAL,CURRENT SCIENTIFIC CORPORATION,Sales and Manufacturing of Marine Night Navigation,http://www.currentcorp.com,604-461-5555,"2933 MURRAY ST, PORT MOODY",
HEALTH CARE,"NARI CARRIERE, RMT",REGISTERED MASSAGE THERAPY AT COAST THERAPY,http://www.coasttherapy.ca,604-492-3371,"830 - 220 BREW ST, PORT MOODY",carriere.nari@gmail.com
BANK/FINAN/INSURA,MAHYAR EXCHANGE LTD,CURRENCY EXCHANGE,http://www.mahyarexchange.com,778-551-3430,"301 - 220 BREW ST, PORT MOODY",exchangemahyar@yahoo.com
PROPERTY MGMT/REAL ESTATE,MONET TYLER PERSONAL REAL ESTATE CORPORATION,Realtor,http://www.monettyler.com,604-931-4307,"103 - 101 KLAHANIE DR, PORT MOODY",monet@monettyler.com
HEALTH,EXPRESSIONS COUNSELLING LTD,ONE ON ONE COUNSELLING SERVICES - REGISTERED CLINICAL COUNSELLOR,http://www.expressionscounselling.com,778-229-0029,"301 - 220 BREW ST, PORT MOODY",expressionscounselling@gmail.com
BEAUTY/ESTHETICS,SKINDULGENCE SPA,SPA/SKIN CARE STUDIO,http://www.skindulgencespa.com,778-908-3532,"303 - 2227 ST JOHNS ST, PORT MOODY",skindulgence@hotmail.com
RETAIL COMMERCIAL,PORT MOODY REFILLERY,ECO-FREIDNLY SOAPS & CLEANERS. REFILLS AVAILABLE. OPERATING OUT OF PAPER & NOOK,http://www.portmoodyrefillery.com,604-492-0101,"229 NEWPORT DR, PORT MOODY",hello@portmoodyrefillery.com
HEALTH,DR. MASOUMEH NOURI INC.,DENTAL OFFICE.,http://www.ariaperioimplant.com,604-931-7212,"205 - 2502 ST JOHNS ST, PORT MOODY",office@ariaperioimplant.com
FOOD & BEVERAGE,YELLOW DOG BREWING COMPANY,BREWERY.,http://www.yellowdogbrew.com,604-492-0191,"1 - 2817 MURRAY ST, PORT MOODY",mike@yellowdogbrew.com
FOOD & BEVERAGE,CAFFE DIVANO,COFFEE SHOP.,http://www.caffedivano.ca,778-355-3304,"101 - 101 KLAHANIE DR, PORT MOODY",info@caffedivano.ca
HEALTH CARE,HAROLD KEECH REGISTERED MASSAGE THERAPIST,COAST THERAPY - REGISTERED MASSAGE THERAPIST,http://www.coasttherapy.ca,604-492-3370,"830 - 220 BREW ST, PORT MOODY",haroldkeech.rmt@gmail.com
HEALTH,PORT MOODY EYE CARE CENTRE,Eye Care Centre,http://www.eyes.bc.ca,604-469-8428,"260 - 221 IOCO RD, PORT MOODY",pomoeyes@gmail.com
BUSINESS SERVICES,CATAPULT STRATEGY INC.,STRATEGY AND INNOVATION CONSULTING,http://www.catapultstrategy.com,778-996-2099,"391 OXFORD DR, PORT MOODY",mjanower@catapultstrategy.com
PROPERTY MGMT/REAL ESTATE,RGN MANAGEMENT LIMITED PARTNERSHIP,REGUS OFFERS FLEXIBLE BUSINESS SOLUTIONS,http://www.regus.ca,604-917-0400,"301 - 220 BREW ST, PORT MOODY",britishcolumbia.portmoody@regus.com
RETAIL COMMERCIAL,AYMAN JALLOUL PHARMACY LTD DBA SDM2244,RETAIL STORE,http://www.shoppersdrugmart.ca/en/store-locator/store/2244,604-461-4030,"3215 ST JOHNS ST, PORT MOODY",asdm2244@shoppersdrugmart.ca
RETAIL COMMERCIAL,TEA & PAPER NOOK,TEA HOUSE.,http://www.sokotea.com,604-492-0101,"229 NEWPORT DR, PORT MOODY",hello@teapapernook.com
RETAIL COMMERCIAL,BELLISSIMA,CLOTHING STORE.,http://www.bellissimafashions.com,604-461-4685,"101 - 205 NEWPORT DR, PORT MOODY",PAT@BELLISSIMAFASHIONS.COM
CONTRACTORS,ECO-PACIFIC LANDSCAPING,Lawn and Garden Maintenance and Landscaping,http://www.ecopacificlandscaping.com,778-355-4434,"130 BUCKINGHAM DR, PORT MOODY",office@ecopacificlandscaping.com
RETAIL COMMERCIAL,CREATIVE CHILDREN FURNITURE AND ART SUPPLIES LTD.,CHILDRENS FURNITURE AND ART SUPPLIES.,http://www.creativechildren.ca,604-469-6403,"6 - 3005 MURRAY ST, PORT MOODY",service@creativechildreneducational.com
CONTRACTORS,MARCRAFT HOMES LTD,GENERAL CONTRACTOR.,http://www.marcrafthomes.com,604-461-2560,"212 - 3190 ST JOHNS ST, PORT MOODY",lisa@marcrafthomes.com
HEALTH,NEXT BITE NUTRITION COACHING,HOLISTIC NUTRITION CONSULTING,http://www.nextbitenutritioncoaching.com,604-759-0049,"2701 CLARKE ST, PORT MOODY",nextbitecoach@gmail.com
HEALTH,AAROMA FLOW HEALING,HEALTH & WELLNESS COACHING,http://www.cassedicarlsen.wixsite.com/wellness,778-984-3421,"2325 ST JOHNS ST, PORT MOODY",cassedicarlsen@gmail.com
BEAUTY/ESTHETICS,FOUNTAIN OF YOUTH SKINCARE,"HAIR REMOVAL, SKIN REJUVENATION & TEETH WHITENING @ SORA HAIR DESIGN",http://www.fountainofyouthskincare.ca,604-760-0063,"2 - 3130 ST JOHNS ST, PORT MOODY",fountainofyouthskincare2015@gmail.com
BEAUTY/ESTHETICS,MODE VIE SALONS INC.,BEAUTY HAIR AND SPA.,http://www.equisitecutandfashion.com,604-461-3433,"120 - 221 IOCO RD, PORT MOODY",exquisitehairandspa@shaw.ca
SPORT/RECREATION/TRAVEL,VELA ACADEMY OF MOVEMENT INC,DANCE STUDIO FOR ALL AGES AND ABILITIES,http://www.velamovement.com,778-355-0835,"3198 ST JOHNS ST, PORT MOODY",info@velamovement.com
HEALTH,DR. JULIANA NEGREIROS PSYCHOLOGY,REGISTERED PSYCHOLOGIST,http://www.drjuliana.ca,778-230-5227,"2226 ST JOHNS ST, PORT MOODY",dr.juliana.negreiros@gmail.com
RETAIL COMMERCIAL,AURIFEX JEWELLERS,CUSTOM JEWELLERY AND REPAIR,http://www.aurifex.ca,604-461-5287,"210 - 3003 ST JOHNS ST, PORT MOODY",info@aurifex.ca
COMMUNITY SERVICES/EDUCATION,TRI-CITY COMMUNITY MONTESSORI,DAYCARE.,http://www.tricitycommunitymontessori.ca,604-461-7505,"275 APRIL RD, PORT MOODY",tricitycommunitymontessori@shaw.ca
COMMUNITY SERVICES/EDUCATION,KINDER KAMPUS CHILDREN'S SERVICES OF BC,DAYCARE.,http://www.kinderkampus.ca,604-461-2268,"103 - 300 PANORAMA PL, PORT MOODY",heritagemountain2@kinderkampus.ca
HEALTH,"TAYLOR JOHNSON, RMT",REGISTERED MASSAGE THERAPY,http://www.inbalancecare.com,604-492-1182,"210 - 221 IOCO RD, PORT MOODY",inbalancecare@gmail.com
AUTOMOTIVE,TALISMAN EXCEL TIRE LTD,Auto and Truck Services/Tire Sales,http://www.talismanexceltire@gmail.com,604-936-3111,"2625 ST JOHNS ST, PORT MOODY",
MEDIA/MUSIC/ART,BUTTER MEDIA INC.,MEDIA.,http://www.butterstudios.ca,604-782-6460,"5 - 3009 MURRAY ST, PORT MOODY",info@butterstudios.ca
BUSINESS SERVICES,GEOADVICE ENGINEERING INC.,Engineers,http://www.geoadvice.com,604-931-0550,"204 - 2502 ST JOHNS ST, PORT MOODY",sandy@geoadvice.com
BUSINESS SERVICES,KUBER BUSINESS CONSULTANTS LTD,BUSINESS CONSULTING TO SMALL BUSINESSES,http://WWW.KUBERBIZ.CA,604-492-1302,"202 - 3003 ST JOHNS ST, PORT MOODY",SID@KUBERBIZ.CA
HEALTH,MINT DENTAL,DENTAL OFFICE.,http://www.mintdental.ca,604-939-3368,"2609 ST JOHNS ST, PORT MOODY",info@mintdental.ca
COMPUTERS/WEB DESIGN,REDSTAMP,REDSTAMP IS A WEB SITE DESIGN & DIGITAL MARKETING SERVICE,http://www.redstamp.com,604-282-7834,"825 - 220 BREW ST, PORT MOODY",kelso@redstamp.ca
CONTRACTORS,ECOHAZMAT (LEGAL 1001107 BC LTD),"ENVIRONMENTAL CONSULTING - ASBESTOS, LEAD & MOULD",http://echohazmat.ca,,"1 - 2611 JANE ST, PORT MOODY",jessica@ecohazmat.ca
HEALTH,HELPING HANDS COUNSELLING,PRIVATE COUNSELLING SERVICES @ ADVANCED HEALING ARTS,http://www.helpinghandscounselling.com,604-313-8512,"201 - 2615 ST JOHNS ST, PORT MOODY",helpinghandscounselling@shaw.ca
ANIMALS,WALKIES DOG WALKING SERVICES,Dog Walking Service,http://www.walkies.ca,604-318-2990,"483 AILSA AVE, PORT MOODY",cindy.walkies@gmail.com
RETAIL COMMERCIAL,BACKYARD BIRD CENTRE,ART/HOBBY/FLORAL/GIFT.,http://www.backyardbird.ca,778-216-9645,"249 NEWPORT DR, PORT MOODY",randy@backyardbird.ca
FOOD & BEVERAGE,MEGA DONAIRE,DONAIRE RESTAURANT.,http://www.megadonair.com,778-355-1444,"912 CLARKE RD, PORT MOODY",r.m.jafary@gmail.com
ENTERTAINMENT,PARADIZ TEAHOUSE AND HOOKAH LOUNGE,Teahouse and Hookah Lounge,http://www.paradizteahouse.com,604-724-7235,"COMPLEX - 99 MORAY ST, PORT MOODY",alihafezbc@yahoo.ca
BEAUTY/ESTHETICS,PIN UP HAIR BOUTIQUE,SINGLE CHAIR SALON.,http://www.pinuphairboutique.ca,604-626-2764,"775 APPLEYARD CRT, PORT MOODY",pinuphairboutique@gmail.com
COMMUNITY SERVICES/EDUCATION,KINDER KAMPUS CHILDREN'S SERVICES OF BC LTD,DAYCARE.,http://www.kinderkampus.ca,604-461-2266,"200 PANORAMA PL, PORT MOODY",heritagemountain@kinderkampus.ca
HEALTH,ST JOHNS HEALTH & WELLNESS,PSYCHOLOGIST.,http://www.stjohnshealth.ca,604-461-1777,"2226 ST JOHNS ST, PORT MOODY",caroleanderson@shaw.ca
ANIMALS,PAW CARE (DOG WALKING & MOBILE PET SITTING),DOG WALKING/MOBILE PET SITTING,http://www.pawcare.ca,778-242-3362,"1 BUCKHORN PL, PORT MOODY",13kennedycolton@gmail.com
HEALTH,SUTER BROOK DENTAL GROUP,DENTAL OFFICE,http://www.suterbrookdentalgroup.com,604-469-8522,"11 - 121 BREW ST, PORT MOODY",info@suterbrookdentalgroup.com
HEALTH,DR. ALEXANDRA CARTER PSYCHOLOGY INC.,REGISTERED PSYCHOLOGIST,http://www.drcarter.ca,604-719-4808,"2226 ST JOHNS ST, PORT MOODY",info@drcarter.ca
CONTRACTORS,HUSKY ALARM INTEGRATION LTD,"INSTALLATION, MONITORING AND SERVICE OF SECURITY SYSTEM, CAMERAS, INTERCOMS AND SOUND SYSTEMS",http://www.huskyalarm.com,604-939-1307,"936 CAITHNESS CRES, PORT MOODY",finance@huskyalarm.com
HEALTH,INLET COMMUNITY BIRTH PROGRAM LTD,MATERNITY/HEALTHCARE CLINIC,http://www.inletbirth.ca,778-355-9596,"306 - 2502 ST JOHNS ST, PORT MOODY",info@inletbirth.ca
HEALTH,COLIN HARRIS @ ADVANCED HEALING ARTS,CRANIOSACRAL THERAPY,http://www.advancedhealingarts.ca,604-939-4325,"201 - 2615 ST JOHNS ST, PORT MOODY",
HEALTH,KIRSTEN MOTH COUNSELLING,COUNSELLING,http://www.kirstenmoth.com,,"301 - 220 BREW ST, PORT MOODY",kirstensherlock@hotmail.com
HEALTH,AYMAN JALLOUL PHARMACY LTD DBA SDM2244,PHARMACY,http://www.shoppersdrugmart.ca/en/store-locator/store/2244,604-461-4030,"3215 ST JOHNS ST, PORT MOODY",asdm2244@shoppersdrugmart.ca
CONTRACTORS,1ST IMPRESSIONS HOME SERVICES,LANDSCAPER,http://www.1stimpressionshomeservices.com,604-992-3783,"1 BIGNALL BAY, PORT MOODY",impressed@shaw.ca
MEDIA/MUSIC/ART,CLIVE TUCKER CERAMICS,"CERAMICS, POTTERY & ART",http://www.clivetuckerceramics.ca,604-505-4654,"D - 2605 MURRAY ST, PORT MOODY",clivetucker@shaw.ca
HEALTH,ROCKY POINT PHYSIOTHERAPY,PHYSIOTHERAPY SERVICES,http://www.rockypointphysio.ca,604-512-1594,"2739 MURRAY ST, PORT MOODY",bradthephysio@shaw.ca
RETAIL COMMERCIAL,LIBERATE YOUR TRUE SELF,RETAIL STORE/SPIRITUAL PRACTIONER,http://www.libertaeyourtrueself.com,778-668-6750,"7 - 2226 CLARKE ST, PORT MOODY",info@liberateyourtrueself.com
RETAIL COMMERCIAL,SHAPOUR'S TAILORING & ALTERATIONS,TAILORING & ALTERATIONS.,http://www.shapourstailoring.com,604-492-0733,"3262 ST JOHNS ST, PORT MOODY",shapourtailoringandalterations@gmail.com
SPORT/RECREATION/TRAVEL,TRANSCENDING MARTIAL ARTS INC.,MARTIAL ARTS.,http://www.bcmartialarts.com,604-469-0207,"2827 SPRING ST, PORT MOODY",tmaonline@gmail.com
COMMUNITY SERVICES/EDUCATION,PORT MOODY MATH & READING CENTRE INC.,KUMON CENTRE,http://www.kumon.com,778-731-0505,"340 - 221 IOCO RD, PORT MOODY",deniodilascio@ikumon.com
BUSINESS SERVICES,CONTRERAS LAW,LAW OFFICE,http://www.contreraslaw.ca,604-917-0473,"301 - 220 BREW ST, PORT MOODY",johann@contreraslaw.ca
SPORT/RECREATION/TRAVEL,BODY MATTERS - MOBILE FITNESS TRAINER FOR THE 50+,MOBILE PERSONAL TRAINER FOR THE 50+ WOMAN,http://www.bodymattersfitness.ca,778-928-6088,"1033 CLARKE RD, PORT MOODY",lisabodymatters@gmail.com
BUSINESS SERVICES,PARK REAL ESTATE LAW OFFICE,LAW OFFICE,http://www.parkrealestatelawoffice.com,604-492-1278,"3252 ST JOHNS ST, PORT MOODY",info@parkrealestatelaw.com
COMPUTERS/WEB DESIGN,ETORON TECHNOLOGIES INC,DIGITAL ADVERTISING SYSTEM SOLUTIONS PROVIDER,http://www.en.etoron.com,604-998-8610,"206 - 3190 ST JOHNS ST, PORT MOODY",info@etoron.com
ANIMALS,NEWPORT VILLAGE ANIMAL HOSPITAL,ANIMAL HOSPITAL/VETERINARY CLINIC,http://www.newportvets.ca,604-492-3900,"276 NEWPORT DR, PORT MOODY",vetsnewport@gmail.com
RETAIL COMMERCIAL,PINBALL ALLEY VINTAGE,VINTAGE CLOTHING AND COLLECTIBLES.,http://www.facebook.com/pinballalley,604-492-1732,"2608 ST JOHNS ST, PORT MOODY",pinballalleyvintage@yahoo.ca
HEALTH,"DR. ASHLEY DAMM, ND",NATUROPATHIC DOCTOR @ PORT MOODY HEALTH,http://www.portmoodyhealth.com,778-227-1661,"202 - 101 KLAHANIE DR, PORT MOODY",drdamm@portmoodyhealth.com
BEAUTY/ESTHETICS,SALT CAVE WELLNESS CENTRE INC.,SALT THERAPY TO TREAT RESPIRATORY & SKIN CONDITIONS,http://www.saltcavewellness.com,604-492-3833,"2619 ST JOHNS ST, PORT MOODY",info@saltcavewellness.com
SPORT/RECREATION/TRAVEL,WEST COAST GOJUKAI KARATE,MARTIAL ARTS SCHOOL,http://www.gojukai-bc.ca,778-355-4658,"2 - 99 MORAY ST, PORT MOODY",shihan@gojukai-bc.ca
SPORT/RECREATION/TRAVEL,TRI-CITY FENCING ACADEMY,OLYMPIC SPORT TRAINING SERVICES,http://www.tri-cityfencing.com,604-506-1356,"112 GREENLEAF CRT, PORT MOODY",brad@tri-cityfencing.com
CONTRACTORS,LAMBERT'S MOVING LTD,Moving Company,http://www.lambertsmoving.com,604-552-1921,"707 APPLEYARD CRT, PORT MOODY",office@lambertsmoving.com
COMMUNITY SERVICES/EDUCATION,EYE LEVEL LEARNING PORT MOODY,AFTER SCHOOL LEARNING CENTER FOR KIDS FROM 5-14 YEARS OLD,http://www.eyelevelportmoody.com,778-686-5861,"207 - 3190 ST JOHNS ST, PORT MOODY",portmoody@myeyelevel.com
COMMUNITY SERVICES/EDUCATION,STEPPING 4 WORDS LEARNING CENTER LTD.,TUTORING.,http://www.stepping4words.com,604-837-2459,"L1 - 2227 ST JOHNS ST, PORT MOODY",info@stepping4words.com
COMPUTERS/WEB DESIGN,CLICKRIGHT COMPUTER SOLUTIONS,COMPUTER REPAIRS AND UPGRADES.,http://www.clickright.ca,778-355-8000,"5 - 2402 ST JOHNS ST, PORT MOODY",ben@clickright.ca
SPORT/RECREATION/TRAVEL,30 MINUTE HIT,FITNESS STUDIO.,http://www.30minutehit.com,604-628-0068,"3012 ST JOHNS ST, PORT MOODY",portmoody@30minutehit.com
AUTOMOTIVE,PORT MOODY AUTO & AIR,Auto Repair,http://www.portmoodyautorepair.com,604-461-7856,"85 MORAY ST, PORT MOODY",portmoodyrad@telus.net
BEAUTY/ESTHETICS,SPA DIVINE AT THE INLET INC,Spa,http://www.spadivine.ca,604-461-4772,"1 - 2806 ST JOHNS ST, PORT MOODY",info@spadivine.ca
RETAIL COMMERCIAL,ELDERBERRY FLORAL AND GIFT INC,ART/HOBBY/FLORAL/GIFT.,http://www.elderberryfloral.ca,604-931-7003,"2601 ST JOHNS ST, PORT MOODY",elderberryinfo@shaw.ca
BUSINESS SERVICES,LAYCO SERVICES INC.,Accounting Services,http://www.laycoservices.com,778-355-8887,"5 - 86 MOODY ST, PORT MOODY",info@laycoservices.com
SPORT/RECREATION/TRAVEL,HONG'S HAPKIDO,MARTIAL ARTS.,http://www.hongshapkido.com,604-720-2600,"2914 ST JOHNS ST, PORT MOODY",kwonpyo@naver.com
